page_url	status	final_url	error
https://www.houseplus-ch.com/ar/	200	https://www.houseplus-ch.com/ar/	
https://www.houseplus-ch.com/ar/about-us/	200	https://www.houseplus-ch.com/ar/about-us/	
https://www.houseplus-ch.com/ar/brand/	200	https://www.houseplus-ch.com/ar/brand/	
https://www.houseplus-ch.com/ar/careers/	200	https://www.houseplus-ch.com/ar/careers/	
https://www.houseplus-ch.com/ar/case-studies/	200	https://www.houseplus-ch.com/ar/case-studies/	
https://www.houseplus-ch.com/ar/certifications/	200	https://www.houseplus-ch.com/ar/certifications/	
https://www.houseplus-ch.com/ar/contact/	200	https://www.houseplus-ch.com/ar/contact/	
https://www.houseplus-ch.com/ar/factory/	200	https://www.houseplus-ch.com/ar/factory/	
https://www.houseplus-ch.com/ar/faq/	200	https://www.houseplus-ch.com/ar/faq/	
https://www.houseplus-ch.com/ar/news/	200	https://www.houseplus-ch.com/ar/news/	
https://www.houseplus-ch.com/ar/news/2026-appliances-market-update/	200	https://www.houseplus-ch.com/ar/news/2026-appliances-market-update/	
https://www.houseplus-ch.com/ar/news/2026-electronics-market-update/	200	https://www.houseplus-ch.com/ar/news/2026-electronics-market-update/	
https://www.houseplus-ch.com/ar/news/2026-smart-home-appliances-market-guide/	200	https://www.houseplus-ch.com/ar/news/2026-smart-home-appliances-market-guide/	
https://www.houseplus-ch.com/ar/news/2026-solar-market-update/	200	https://www.houseplus-ch.com/ar/news/2026-solar-market-update/	
https://www.houseplus-ch.com/ar/news/advanced-manufacturing-home-appliances/	200	https://www.houseplus-ch.com/ar/news/advanced-manufacturing-home-appliances/	
https://www.houseplus-ch.com/ar/news/air-fryer-sourcing-guide-china/	200	https://www.houseplus-ch.com/ar/news/air-fryer-sourcing-guide-china/	
https://www.houseplus-ch.com/ar/news/appliance-energy-efficiency-vs-actual-consumption/	200	https://www.houseplus-ch.com/ar/news/appliance-energy-efficiency-vs-actual-consumption/	
https://www.houseplus-ch.com/ar/news/battery-energy-storage-rfq-data-checklist/	200	https://www.houseplus-ch.com/ar/news/battery-energy-storage-rfq-data-checklist/	
https://www.houseplus-ch.com/ar/news/ce-certification-solar-panels-guide/	200	https://www.houseplus-ch.com/ar/news/ce-certification-solar-panels-guide/	
https://www.houseplus-ch.com/ar/news/consumer-electronics-battery-life-testing/	200	https://www.houseplus-ch.com/ar/news/consumer-electronics-battery-life-testing/	
https://www.houseplus-ch.com/ar/news/energy-efficiency-standards-appliances/	200	https://www.houseplus-ch.com/ar/news/energy-efficiency-standards-appliances/	
https://www.houseplus-ch.com/ar/news/global-wholesale-guide-home-appliances/	200	https://www.houseplus-ch.com/ar/news/global-wholesale-guide-home-appliances/	
https://www.houseplus-ch.com/ar/news/home-appliance-oem-manufacturer-guide-china/	200	https://www.houseplus-ch.com/ar/news/home-appliance-oem-manufacturer-guide-china/	
https://www.houseplus-ch.com/ar/news/home-appliance-oem-sample-evaluation-checklist/	200	https://www.houseplus-ch.com/ar/news/home-appliance-oem-sample-evaluation-checklist/	
https://www.houseplus-ch.com/ar/news/how-to-choose-solar-panel-manufacturer-china/	200	https://www.houseplus-ch.com/ar/news/how-to-choose-solar-panel-manufacturer-china/	
https://www.houseplus-ch.com/ar/news/how-to-choose-wholesale-solar-panels/	200	https://www.houseplus-ch.com/ar/news/how-to-choose-wholesale-solar-panels/	
https://www.houseplus-ch.com/ar/news/kitchen-appliances-wholesale-guide/	200	https://www.houseplus-ch.com/ar/news/kitchen-appliances-wholesale-guide/	
https://www.houseplus-ch.com/ar/news/lifepo4-vs-lead-acid-battery/	200	https://www.houseplus-ch.com/ar/news/lifepo4-vs-lead-acid-battery/	
https://www.houseplus-ch.com/ar/news/mono-vs-poly-vs-perc-solar-panels/	200	https://www.houseplus-ch.com/ar/news/mono-vs-poly-vs-perc-solar-panels/	
https://www.houseplus-ch.com/ar/news/mppt-vs-pwm-charge-controller/	200	https://www.houseplus-ch.com/ar/news/mppt-vs-pwm-charge-controller/	
https://www.houseplus-ch.com/ar/news/oem-odm-manufacturing-guide/	200	https://www.houseplus-ch.com/ar/news/oem-odm-manufacturing-guide/	
https://www.houseplus-ch.com/ar/news/portable-power-supply-solar-storage-b2b-guide/	200	https://www.houseplus-ch.com/ar/news/portable-power-supply-solar-storage-b2b-guide/	
https://www.houseplus-ch.com/ar/news/portable-ssd-vs-external-hdd/	200	https://www.houseplus-ch.com/ar/news/portable-ssd-vs-external-hdd/	
https://www.houseplus-ch.com/ar/news/smart-home-appliances/	200	https://www.houseplus-ch.com/ar/news/smart-home-appliances/	
https://www.houseplus-ch.com/ar/news/solar-energy-storage-industrial-manufacturing/	200	https://www.houseplus-ch.com/ar/news/solar-energy-storage-industrial-manufacturing/	
https://www.houseplus-ch.com/ar/news/solar-energy-storage-solutions/	200	https://www.houseplus-ch.com/ar/news/solar-energy-storage-solutions/	
https://www.houseplus-ch.com/ar/news/solar-panel-rfq-checklist-international-buyers/	200	https://www.houseplus-ch.com/ar/news/solar-panel-rfq-checklist-international-buyers/	
https://www.houseplus-ch.com/ar/news/solar-panel-wholesale-price-guide/	200	https://www.houseplus-ch.com/ar/news/solar-panel-wholesale-price-guide/	
https://www.houseplus-ch.com/ar/news/solar-storage-efficiency-optimization-guide/	200	https://www.houseplus-ch.com/ar/news/solar-storage-efficiency-optimization-guide/	
